"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","context","GO","region","experiment"
"GO:0070403","3-hydroxyacyl-CoA dehydrogenase activity ",0.05,0.000116207003408739,0.333333333333333,430.266666666667,20.703483810836,0.00232242988427345,0.0185726031081395,0.0114042299786821,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0035368","selenocysteine insertion sequence binding ",0.05,0.000154942671211652,0.25,322.7,17.9161671982803,0.00309543385135658,0.0185726031081395,0.0114042299786821,"utg7127.equina_smart_1282991.mrna2",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0071949","catalytic activity ",0.05,0.00162689804772234,0.0238095238095238,30.7333333333333,5.36972705780218,0.0320515592722215,0.0913077917717864,0.0560661879300443,"evm.utg35662.1",1,"CpG","Molecular Functions","gene","Acute Experiment"
"GO:0044877","calmodulin binding ",0.05,0.00182057638673691,0.0212765957446809,27.463829787234,5.05624045541683,0.0358015487311421,0.0913077917717864,0.0560661879300443,"evm.utg11814.7",1,"CHG","Molecular Functions","gene","Acute Experiment"
"GO:0004721","metal ion binding ",0.05,0.00193678339014565,0.02,25.816,4.89066774992626,0.0380449132382443,0.0913077917717864,0.0560661879300443,"evm.utg6459.27",1,"CHH","Molecular Functions","gene","Acute Experiment"
"GO:0032868","cardiolipin acyl-chain remodeling ",0.0666666666666667,0.000112796796570977,0.5,591.033333333333,24.2810009923366,0.00169128394723117,0.0202633824684804,0.00533246907065273,"evm.utg11814.7",1,"CHG","Biological Processes","gene","Acute Experiment"
"GO:0043631","RNA polyadenylation ",0.0666666666666667,0.000338390389712932,0.166666666666667,197.011111111111,13.9727006644533,0.00506584561712009,0.0202633824684804,0.00533246907065273,"evm.utg6459.27",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0050982","detection of mechanical stimulus ",0.0666666666666667,0.000338390389712932,0.166666666666667,197.011111111111,13.9727006644533,0.00506584561712009,0.0202633824684804,0.00533246907065273,"evm.utg512.80",1,"CHH","Biological Processes","gene","Acute Experiment"
"GO:0046416","D-amino acid metabolic process ",0.0666666666666667,0.000733179177711353,0.0769230769230769,90.9282051282051,9.43794439796364,0.0109457234133683,0.028279328355823,0.00744192851469026,"evm.utg35662.1",1,"CpG","Biological Processes","gene","Acute Experiment"
"GO:0045087","defense response to virus ",0.0666666666666667,0.000789577575996842,0.0714285714285714,84.4333333333333,9.08710783268396,0.0117830534815929,0.028279328355823,0.00744192851469026,"evm.utg1571.14",1,"CpG","Biological Processes","gene","Acute Experiment"
